page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/pet-sports-apparel_c8485_f218v775223,True,Move important URLs closer to major crawl paths.,6,PET SPORTS APPAREL (Free Shipping) | Chewy,42,"Shop Chewy for the best deals on Pet Sports Apparel and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Pet Sports Apparel for your pet.",217,,Pet Sports Apparel,1,pet-sports-apparel,True,True,False,False,True,False,False,False,40,350,6,,,,,,,,,,,,,,
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/denver-broncos-nfl-dog-collars_c8496_f47v85577,True,Move important URLs closer to major crawl paths.,6,DENVER BRONCOS NFL DOG COLLARS (Free Shipping) | Chewy,54,"""Shop Chewy for the best deals on Denver Broncos Nfl Dog Collars and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Denver Broncos Nfl Dog Collars for your pet.""",243,denver broncos nfl dog collars,Denver Broncos Nfl Dog Collars,1,denver-broncos-nfl-dog-collars,True,True,False,False,True,False,False,False,2,320,6,,,,,,,1,1,5.0,1,0,0,0,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/nfl-dog-bandanas_c8496_f218v775223,True,Move important URLs closer to major crawl paths.,6,NFL DOG BANDANAS (Free Shipping) | Chewy,40,"Shop Chewy for the best deals on Nfl Dog Bandanas and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Nfl Dog Bandanas for your pet.",213,,Nfl Dog Bandanas,1,nfl-dog-bandanas,True,True,False,False,True,False,False,False,2,343,6,,,,,,,,,,,,,,
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/ceramic-dog-urns_c2611_f7v17021,True,Move important URLs closer to major crawl paths.,6,CERAMIC DOG URNS (Free Shipping) | Chewy,40,"Shop Chewy for the best deals on Ceramic Dog Urns and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Ceramic Dog Urns for your pet.",213,ceramic dog urns,Ceramic Dog Urns,1,ceramic-dog-urns,True,True,False,False,True,False,False,False,2,319,6,,,,,,,1,1,19.0,0,1,0,0,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/stone-dog-urns_c2611_f7v276404,True,Move important URLs closer to major crawl paths.,6,STONE DOG URNS (Free Shipping) | Chewy,38,"Shop Chewy for the best deals on Stone Dog Urns and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Stone Dog Urns for your pet.",209,,Stone Dog Urns,1,stone-dog-urns,,False,False,False,True,False,False,False,2,316,6,,,,,,,,,,,,,,
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/cavalor-horse-supplements_c1692_f1v118928,True,Move important URLs closer to major crawl paths.,6,CAVALOR HORSE SUPPLEMENTS (Free Shipping) | Chewy,49,"Shop Chewy for the best deals on Cavalor Horse Supplements and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Cavalor Horse Supplements for your pet.",231,,Cavalor Horse Supplements,1,cavalor-horse-supplements,True,True,False,False,True,False,False,False,1,353,6,,,,,,,,,,,,,,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/carson-industries-dog-memorial-stones_c2614_f1v397378,True,Move important URLs closer to major crawl paths.,6,CARSON INDUSTRIES DOG MEMORIAL STONES (Free Shipping) | Chewy,61,"Shop Chewy for the best deals on Carson Industries Dog Memorial Stones and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Carson Industries Dog Memorial Stones for your pet.",255,carson industries dog memorial stones,Carson Industries Dog Memorial Stones,1,carson-industries-dog-memorial-stones,True,True,False,False,True,False,False,False,1,317,6,,,,,,,1,1,1.0,1,0,0,0,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/puppy-birthday-hats_c12410_f5v9065,True,Move important URLs closer to major crawl paths.,6,PUPPY BIRTHDAY HATS (Free Shipping) | Chewy,43,"Shop Chewy for the best deals on Puppy Birthday Hats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Puppy Birthday Hats for your pet.",219,,Puppy Birthday Hats,1,puppy-birthday-hats,True,True,False,False,True,False,False,False,5,312,6,,,,,,,,,,,,,,
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/ncaa-pet-jerseys_c8487_f218v775223,True,Move important URLs closer to major crawl paths.,7,NCAA PET JERSEYS (Free Shipping) | Chewy,40,"Shop Chewy for the best deals on Ncaa Pet Jerseys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Ncaa Pet Jerseys for your pet.",213,ncaa pet jerseys,Ncaa Pet Jerseys,1,ncaa-pet-jerseys,True,True,False,False,True,False,False,False,14,344,7,,,,,,,1,1,1.0,1,0,0,0,1.0
HVF,Links,Crawl depth too deep,https://www.chewy.com/f/ncaa-pet-beds_c8487_f218v775212,True,Move important URLs closer to major crawl paths.,7,NCAA PET BEDS (Free Shipping) | Chewy,37,"Shop Chewy for the best deals on Ncaa Pet Beds and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Ncaa Pet Beds for your pet.",207,,Ncaa Pet Beds,1,ncaa-pet-beds,,False,False,False,True,False,False,False,11,306,7,,,,,,,,,,,,,,
